Ativo;Cidade;Estado;Data;%;ABL Transação;ABL Total;Valor Transação (R$);R$/m²;Cap rate;Comprador;Vendedor;Estrutura;Detalhes;Fato Relevante / Fonte;
International Busisnes Park;Duque de Caxias;RJ;jan/19;100%;1.008;1.008;3.500.000;3.472;10,01%;TRBL11;-;Cash;À vista;Fundos.NET;
Privalia Extrema;Extrema;MG;jan/19;100%;26.774;26.774;76.900.000;2.872;-;VILG11;-;Sellers Finance;44% à vista | 56% pagos em 12 anos;Fundos.NET;
Log Guarulhos;Guarulhos;SP;mar/19;100%;18.276;18.276;47.500.000;2.599;-;HGLG11;-;Cash;À vista;Fundos.NET;
Fernão Dias Business Park;Extrema;MG;mai/19;61%;54.632;33.326;98.231.737;2.948;9,36%;VILG11;-;Sellers Finance;44% à vista | 56% pagos em 12 anos;Fundos.NET;
Jundaí Business Park;Jundiaí;SP;mai/19;40%;30.675;12.270;30.378.074;2.476;8,20%;VILG11;-;Sellers Finance;70% à vista | 30% em até 10 meses ;Fundos.NET;
Imóvel Sâo José;São José;SC;jun/19;100%;47.912;47.912;204.888.618;4.276;-;XPLG11;FII Golden;Sellers Finance;85% à vista | 15% no final da obra;Fundos.NET;
Imóvel SJC;São José dos Campos;SP;jul/19;100%;69.466;69.466;112.735.068;1.623;-;HGLG11;-;Cash;À vista;Fundos.NET;
Imóvel Vinhedo;Vinhedo;SP;jul/19;100%;132.353;132.353;358.305.781;2.707;-;HGLG11;-;Cash;À vista;Fundos.NET;
Galpões Santo Agostinho;Cabo de Santo Agostinho;PE;out/19;100%;203.074;203.074;537.000.000;2.644;-;XPLG11;AMLQ Holdings;Cash;À vista;Fundos.NET;
Cajamar II;Cajamar;SP;out/19;55%;125.717;69.144;336.559.812;4.867;-;XPLG11;-;Sellers Finance;25% à vista | 75% em 1 ano;Fundos.NET;
BTS Cremer;Pouso Alegre;MG;nov/19;100%;13.899;13.899;39.177.182;2.819;8,20%;VILG11;-;Sellers Finance;70% à vista | 30% em até 4 meses ;Fundos.NET;
Airport Town Ayrton Senna;Guarulhos;SP;nov/19;100%;18.923;18.923;64.685.204;3.418;7,90%;VILG11;-;Sellers Finance;80% à vista | 20% em até 6 meses;Fundos.NET;
WTTP2;Barueri;SP;nov/19;100%;30.104;30.104;77.725.486;2.582;-;XPLG11;Real Techpark;Cash;À vista;Fundos.NET;
BTS Unilever;Cabo de Santo Agostinho;PE;dez/19;100%;25.583;25.583;60.471.000;2.364;9,00%;XPLG11;-;Sellers Finance;180 parcelas mensais sem correção;Fundos.NET;
CD Cachoeirinha;Cachoeirinha;RS;jan/20;73%;36.722;26.623;77.618.366;2.915;9,90%;VILG11;-;Cash;À vista;Fundos.NET;
CD Eldorado;Eldorado do Sul;RS;jan/20;100%;15.512;15.512;71.030.740;2.219;13,00%;VILG11;-;Cash;À vista;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=75194&cvm=true;
CD Cariacica;Cariacica;RS;jan/20;100%;16.502;16.502;;;;VILG11;-;;;;
Log Cmpinas;Campinas;SP;fev/20;100%;-;1.723;18.680.000;10.842;-;-;HGLG11;Sellers Finance;75% à vista | 25% em até 90 dias;Fundos.NET;
Log Jundiaí;Jundiaí;SP;mar/20;100%;91.311;91.311;248.159.250;2.718;7,92%;TRBL11;-;Cash;À vista;Fundos.NET;
Tok&Stok Extrema;Extrema;MG;mai/20;67%;66.940;44.736;146.357.700;3.272;8,70%;VILG11;-;Cash;À vista;Fundos.NET;
RBL Guarulhos;Guarulhos;SP;jun/20;100%;22.825;22.825;36.300.000;1.590;9,30%;TRBL11;-;Sellers Finance;50% à vista | 40% em 6 meses | 10% em em 5 anos ;Fundos.NET;
Santana Business Park;Santana de Parnaíba;SP;jul/20;100%;33.085;33.085;95.452.189;2.885;-;XPLG11;Vancorp;Sellers Finance;12 parcelas mensais corrigidas por IPCA;Fundos.NET;
Castelo Branco (Continental);Santana de Parnaíba;SP;jul/20;100%;18.940;18.940;153.558.723;3.358;8,71%;BTLG11;-;Cash;À vista;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=117581&cvm=true;
Araçatuba (Rigesa);Araçatuba;SP;jul/20;100%;26.783;26.783;;;;;;;;;
Log Itatiaia;Itatiaia;SP;ago/20;100%;45.580;45.580;401.666.078;5.563;-;PATL11;-;Cash;À vista;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=113544&cvm=true;
Ribeirão das Neves Refrigerado;Ribeirão das Neves;SP;ago/20;100%;26.618;26.618;;;;;;;;;
Log Itupeva;Itupeva;SP;ago/20;100%;58.828;58.828;151.700.878;2.579;-;HGLG11;-;Sellers Finance;R$60MM de sinal | Restante de acordo com cumprimento de condições;Fundos.NET;
Log Betim;Betim;MG;ago/20;100%;62.587;62.587;194.379.393;3.106;-;HGLG11;-;Sellers Finance;;;
Galpões Extrema;Extrema;MG;ago/20;100%;34.101;34.101;89.714.126;2.631;-;HGLG11;-;Sellers Finance;61,31% à vista  | 5,68% em 180 dias | 5,68% em 360 dias | 13,67% em 540 dias | 13,67% em 720 dias (corrigida por 100% do IGP-M);Fundos.NET;
FW5;Extrema;MG;ago/20;50%;74.573;37.287;105.000.000;2.816;8,50%;RBRL11;-;Sellers Finance;Pagamento conforme o andamento da obra;Fundos.NET;
Parque Logístico Osasco;Osasco;SP;ago/20;80%;32.253;25.802;70.994.058;2.751;8,50%;VILG11;-;Sellers Finance;76% à vista | 24% em 4 parcelas semestrais;Fundos.NET;
Loteamento Internacional Business Park/Log DP;Duque de Caxias;RJ;ago/20;100%;111.414;111.414;374.647.804;3.363;-;XPLG11;HSI PE;Sellers Finance;30% à vista | 70% na conclusão da aquisição (8 meses depois aprox);Fundos.NET;
BTLG Jundiaí;Jundiaí;SP;set/20;100%;100.028;100.028;270.000.000;2.699;-;BTLG11;-;Cash;À vista;Fundos.NET;
Caxias Park;Duque de Caxias;RJ;out/20;100%;76.600;76.600;223.100.000;2.913;8,90%;VILG11;-;Cash;À vista;Fundos.NET;
Ativo SBC;São Bernardo do Campo;SP;out/20;25%;460.000;115.000;245.330.000;2.133;-;BTLG11;-;Sellers Finance;76% à vista | 24% em 3 anos;Fundos.NET;
BTS Campo Grande;Rio de Janeiro;RJ;nov/20;100%;145.600;145.600;389.571.551;2.676;-;BLMG11;-;Cash + Cotas;44% em cotas | 56% em dinheiro;Fundos.NET;
GR Louveira;Louveira;SP;nov/20;100%;55.202;55.202;156.139.000;2.829;-;HGLG11;-;Cash;À vista;Fundos.NET;
Bresco Bahia;Lauro de Freitas;BA;dez/20;100%;56.216;56.216;194.573.891;3.461;8,00%;BRCO11;-;Sellers Finance;68% ao vivo | 32% em 2 meses;Fundos.NET;
KSM Log;Extrema;MG;dez/20;100%;82.153;82.153;269.440.105;3.280;8,00%;RBRL11;-;Sellers Finance;10% à vista | 88% em 10 dias | 2% na conclusão da obra;Fundos.NET;
Castelo 57 Business Park;São Roque;SP;dez/20;80%;60.589;48.471;130.016.866;2.682;8,50%;VILG11;-;Sellers Finance;8,5% à vista | 91,5% em 15 parcelas até a conclusão da obra;Fundos.NET;
BTLG Guarulhos;Guarulhos;SP;fev/21;100%;20.247;20.247;195.000.000;2.224;8,00%;BTLG11;-;Sellers Finance;R$ 145 mi á vista | R5 50 mi em 12 meses;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=145996&cvm=true;
BTLG Embu;Embu das Artes;SP;;100%;30.592;30.592;;;;;;;;;
BTLG Hortolândia;Hortolândia;SP;;100%;36.024;36.024;;;;;;;;;
Rhea Log;São José dos Pinhais;PR;mar/21;34%;22.120;7.567;25.999.600;3.436;10,50%;GGRC11;-;Cash;À vista;Fundos.NET;
BMLog São Bernardo do Campo;São Bernardo do Campo;SP;abr/21;100%;27.000;27.000;108.000.000;4.000;-;BLMG11;-;Cash;À vista;Fundos.NET;
Suzano Papel;Salvador;BA;abr/21;100%;28.657;28.657;54.019.619;1.885;9,48%;GGRC11;-;Cash;À vista;Fundos.NET;
Volkswagen Man;Resende;RJ;abr/21;100%;23.867;23.867;82.963.410;3.476;-;-;RBRL11;Sellers Finance;20% à vista | 50% em 4 meses | 30% em 9 meses;Fundos.NET;
WTLOG RBR I ;Franco da Rocha;SP;abr/21;50%;121.769;60.885;164.696.592;2.705;8,30%;RBRL11;-;Sellers Finance;Pagamento conforme o andamento da obra;Fundos.NET;
