Ativo;Data;%;ABL Total;ABL Transação;Valor Transação (R$);Valor/m²;Cap rate;Comprador;Vendedor;Estrutura;Detalhes;Fato Relevante / Fonte;;;;;;;;
Santana Parque Shopping;mai/19;15%;26.500;3.975;54.000.000;13.585;7,9%;HGBS11;ARAPUCANA PARTICIPAÇÕES;Sellers Finance;85% à vista | 15% pago em 90 dias corrigido CDI | Compra indireta (fundo que detém 100% do Shopping);Fundos.NET;;;;;;;;
Minas Shopping;jul/19;19%;45.414;8.692;137.100.000;15.773;8,0%;VISC11;-;Cash;À vista;Fundos.NET;;;;;;;;
Shopping Granja Vianna;jul/19;37%;30.376;11.087;107.675.000;9.712;8,7%;VISC11;-;Cash;Pagamento a vista, descontando saldo de dívida assumida pelo fundo;Fundos.NET;;;;;;;;
Shopping Granja Vianna;ago/19;51%;30.463;15.536;118.430.681;7.623;-;HSML11;SPE Xangai Participações S/A;Cash;À vista;Fundos.NET;;;;;;;;
Shopping Pátio Maceió;ago/19;100%;41.244;41.244;387.576.973;9.397;-;HSML11;Pátio Maceió S/A;Cash;À vista;Fundos.NET;;;;;;;;
Shopping Taboão;ago/19;8%;36.893;2.951;159.243.564;18.309;-;PMLL11;-;Cash;À Vista;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=56738&cvm=true;;;;;;;;
Boulevard Shopping Feira;ago/19;29%;20.000;5.746;;;;;;;;;;;;;;;;
SuperShopping Osasco;set/19;58%;17.663;10.206;88.891.975;8.710;-;HSML11;REC Saphyr;Cash;À vista;Fundos.NET;;;;;;;;
Shopping Tacaruna;set/19;7%;44.829;2.990;42.100.000;14.080;8,0%;PMLL11;-;Cash;À vista;Fundos.NET;;;;;;;;
Maceió Shopping;set/19;5%;40.774;2.039;19.000.000;9.320;8,5%;PMLL11;-;Cash;À vista;Fundos.NET;;;;;;;;
Iguatemi Florianópolis;out/19;30%;21.109;6.333;110.250.000;17.410;8,2%;VISC11;-;Cash;À vista;Fundos.NET;;;;;;;;
Suzano Shopping;out/19;25%;24.058;6.015;77.500.000;12.886;8,0%;PMLL11;-;Cash;À vista;Fundos.NET;;;;;;;;
Shopping Barra;out/19;18%;50.589;9.133;116.000.000;12.702;7,8%;PMLL11;-;Cash;À vista;Fundos.NET;;;;;;;;
Suzano Shopping;nov/19;15%;24.500;3.675;46.500.000;12.653;8,0%;HGBS11;-;-;À Vista;;;;;;;;;
Shopping West Plaza;dez/19;25%;36.600;9.150;72.500.000;7.923;8,0%;HGBS11;Aliansce Sonae Shopping Centers S.A;-;À Vista;;;;;;;;;
Shopping West Plaza;dez/19;45%;36.600;16.470;130.500.000;7.923;8,0%;HGBS11;Aliansce Sonae Shopping Centers S.A;-;À Vista;;;;;;;;;
Shopping Park Lagos;dez/19;40%;27.220;10.888;203.300.000;9.104;8,0%;PMLL11;-;Cash;À Vista;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=74251&cvm=true;;;;;;;;
Shopping Park Sul;dez/19;40%;28.605;11.442;;;;;;;;;;;;;;;;
Shopping Via Verde;jan/20;97%;28.257;27.316;225.033.579;8.238;-;HSML11;REC Via Verde S.A;Cash;À vista;Fundos.NET;;;;;;;;
Shopping Metro Tucuruvi;jun/20;100%;33.010;33.010;576.276.620;17.458;-;HSML11;REC 2016 Empreendimentos e Participações VII S.A;Cash;À vista;Fundos.NET;;;;;;;;
Shopping Praia da Costa;set/20;99%;40.580;39.971;194.023.243;4.854;10,9%;VISC11;-;Sellers Finance;4 parcelas anuais | 1ª de 58% | 3 restantes totalizando 42%, corrigidas por CDI ;Fundos.NET;;;;;;;;
Shopping Praça da Moça;out/20;23%;29.800;6.872;88.339.240;12.855;7,6%;HGBS11;-;-;À Vista;;;;;;;;;
Ribeirão Shopping;out/20;17%;74.988;12.943;150.600.000;11.636;7,7%;VISC11;-;Cash;-;Fundos.NET;;;;;;;;
Franca Shopping Center;dez/20;0%;18.700;69;716.400;10.439;7,9%;HGBS11;-;-;À Vista;Fundos.NET;;;;;;;;
Boulevard Shopping Feira de Santana;mar/21;2%;19.996;360;8.220.000;22.838;9,7%;PMLL11;-;Cash;À vista;Fundos.NET;;;;;;;;
Morumbi Town;mai/21;100%;31.030;31.030;306.446.728;9.876;-;GZIT11;FII Morumbi Town I;-;-;Fundos.NET;;;;;;;;
Pantanal Shopping;ago/21;22%;46.000;9.890;659.500.000;11.187;8,0%;VISC11;-;Cotas + Cash;40% cotas | 60% cash;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199829&cvm=true;;;;;;;;
Porto Velho Shopping;;49%;44.000;21.560;;;;;;;;;;;;;;;;
Shopping Boulevard;;40%;29.000;11.600;;;;;;;;;;;;;;;;
North Shopping Maracanaú;;100%;15.900;15.900;;;;;;;;;;;;;;;;
Shopping Estação BH;dez/21;40%;37.330;14.932;150.025.500;10.047;;XPML11;SYN PROP E TECH S.A;Sellers Finance;62% à vista | 38% em parcelas anuais por 4 anos, corrigido por CDI;Fundos.NET;;;;;;;;
Madureira Shopping;dez/21;100%;37.188;37.188;286.176.604;7.695;8,7%;PMLL11;-;Cash;Caixa + CRI;Fundos.NET;;;;;;;;
Shopping Paralela;jan/22;51%;37.804;19.280;432.721.212;22.444;-;HSML11;REC 2017 EMPREENDIMENTOS E PARTICIPAÇÕES I S.A;Sellers Finance;3 parcelas;Fundos.NET;;;;;;;;
Shopping da Bahia;fev/22;9%;68.629;6.211;151.172.867;24.340;7,8%;XPML11;-;Cash;À vista;Fundos.NET;;;;;;;;
Shopping Uberaba;jun/22;100%;25.111;25.111;332.952.874;13.259;-;HSML11;Jaguara Empreendimentos Imobiliários S.A;Cash;À vista;Fundos.NET;;;;;;;;
Campinas Shopping;set/22;36%;36.165;13.019;102.850.000;7.900;9,5%;XPML11;-;Cash;À vista;Fundos.NET;;;;;;;;
Shopping Jardim Sul;dez/22;40%;28.700;11.480;217.763.000;18.969;-;HGBS11;-;-;-;;;;;;;;;
Campinas Shopping;dez/22;20%;36.165;7.233;82.280.000;11.376;9,5%;PMLL11;-;Cash + Cotas;R$ 26.341.459 em cash | R$ 55.938.540 em cotas;Fundos.NET;;;;;;;;
Campinas Shopping;dez/22;55%;36.165;19.891;226.270.000;11.376;9,5%;VISC11;-;Sellers Finance;40% à vista | 60% em parcelas mensais corrigidas por IPCA (R$ 40mi em 4 anos e R$90.5 mi em 12 anos);Fundos.NET;;;;;;;;
DiamondMall;mar/23;25%;21.351;5.338;170.000.000;31.849;-;Multiplan;-;Sellers Finance;40% à vista | Restante em 12 parcelas mensais, com correção por IPCA;5b349bbb-c5ff-1885-96af-a97190f47cb5;;;;;;;;
Shopping Jardim Sul;jul/23;40%;28.410;11.364;217.763.000;19.163;9,3%;HGBS11;Allos;CRI;R$107,5 mm a IPCA + 8,00% e vcto em 10 anos | R$107,5 mm a CDI +2,40% a.a. e vcto em 10 anos (2 anos de carência de amort.);2023_07_03_HGBS_Fato_Relevante.pdf;;;;;;;;
Shopping Cidade Jardim;jul/23;3%;47.080;1.412;50.000.000;35.401;-;XPML11;-;-;À vista no fechamento;Fundos.NET;;;;;;;;
Villa Romana Shopping;ago/23;10%;30.093;3.009;221.500.000;19.465;7,3%;CPSH11;VISC11;Sellers Finance;25% à vista | 42% em Janeiro/2024 | 15% Julho/2024 | 18% em Janeiro/2025;b2b095c9-d282-9396-2365-ab51b772cdee;;;;;;;;
Shopping Iguatemi Bosque;;9%;93.000;8.370;;;;;;;;;;;;;;;;
Shopping Capim Dourado;ago/23;60%;39.180;23.508;181.273.301;7.711;9,3%;HGBS11;-;-;À vista no fechamento;2023_08_31_HGBS_Fato_Relevante_Proposta_Capim_Dourado.pdf;;;;;;;;
Plaza Sul Shopping;set/23;10%;23.500;2.350;60.000.000;25.532;9,3%;XPML11;Allos;Sellers Finance;50% à vista | 25% após 12 meses | 25% em Dezembro/2024, com correção por CDI;Fundos.NET;;;;;;;;
Plaza Sul Shopping;set/23;10%;23.500;2.350;60.000.000;25.532;8,0%;-;Allos;-;-;ca252e09-0133-de87-732d-a42b90a13845;;;;;;;;
Shopping Jardim Sul;out/23;60%;28.410;17.046;343.831.462;20.171;8,9%;HGBS11;Allos;-;À vista no fechamento;2023_10_03_HGBS_Fato_Relevante_Compra_Jardim_Sul.pdf;;;;;;;;
RibeirãoShopping;out/23;5%;74.881;3.744;76.000.000;20.299;-;Multiplan;VISC11;-;À vista no fechamento;36afe558-aa8e-8432-1df3-8a6392364ac2;;;;;;;;
Shopping da Bahia;out/23;6%;70.511;4.231;115.159.352;27.220;-;XPML11;-;-;À vista no fechamento;Fundos.NET;;;;;;;;
Shopping Conjunto Nacional;out/23;6%;45.000;2.700;283.800.000;12.390;8,9%;VISC11;-;Sellers Finance;78% à vista | 22% após 12 meses;698a38e4-1703-7dc9-f7f7-3a0e8ad22153;;;;;;;;
Natal Shopping;;30%;28.349;8.505;;;;;;;;;;;;;;;;
Via Sul Shopping;;45%;26.003;11.701;;;;;;;;;;;;;;;;
Boulevard Shopping Campos;out/23;75%;27.447;20.585;297.900.000;9.818;8,4%;-;Allos;-;À vista no fechamento;3c2af8a3-b195-1869-cdb5-51cdf8aaefdd;;;;;;;;
Santana Parque Shopping;;37%;26.583;9.756;;;;;;;;;;;;;;;;
Caxias Shopping;dez/23;18%;28.181;4.933;70.000.000;14.190;-;-;XPML11;-;-;Fundos.NET;;;;;;;;
Boulevard Shopping Bauru;dez/23;65%;34.700;22.555;152.091.418;6.743;9,0%;HGBS11;Allos;Sellers Finance;83% à vista | 17% após 6 meses, com correção por CDI;2023.12.21 - Fato Relevante - Bauru;;;;;;;;
Madureira Shopping;dez/23;20%;37.000;7.400;70.080.000;9.470;8,6%;VISC11;MALL11;Sellers Finance;80% à vista | 20% em Janeiro/2024;39364c59-5379-b135-4f06-78880e389b60;;;;;;;;
Shopping Pátio Maceió;dez/23;30%;43.983;13.195;213.200.000;16.158;7,5%;BTG;HSML11;Sellers Finance + REPO;25% à vista | 13% após 7 meses | 13% após 6 meses | 8% após 6 meses | 40% após 22 meses, com correção por IPCA;b67eb21b-be2e-d17c-fc49-4d3c6cb773f5;;;;;;;;
Boulevard Shopping Bauru;dez/23;35%;34.700;12.145;81.895.379;6.743;9,0%;MALL11;Allos;Sellers Finance + Cotas;73% via cotas do MALL | 27% após 6 meses, com correção por CDI;Fundos.NET;;;;;;;;
Shopping Estação;jan/24;35%;27.577;9.652;156.300.000;16.194;10,3%;VISC11;Allos;-;À vista no fechamento;14e97dae-72fc-6e40-99c0-29d2cda77753;;;;;;;;
Shopping Estação;jan/24;35%;27.577;9.652;156.256.344;16.189;10,3%;XPML11;Allos;-;À vista no fechamento;Fundos.NET;;;;;;;;
Caxias Shopping;jan/24;18%;28.200;4.935;65.887.227;13.351;9,5%;MALL11;XPML11;Sellers Finance  ;78% à vista | 22% em Julho/2024, com correção por IPCA;Fundos.NET;;;;;;;;
Shopping Metropolitano Barra;jan/24;20%;44.000;8.800;81.000.000;9.205;9,1%;MALL11;-;Sellers Finance + Cotas;3% à vista | 97% via cotas do MALL;Fundos.NET;;;;;;;;
Barra Malls FII;jan/24;100%;5.600;5.600;126.319.662;22.557;9,1%;MALL11;Barra Malls FII;-;À vista (aquisição das cotas do Barra Malls FII);Fundos.NET;;;;;;;;
I Fashion Outlet Novo Hamburgo;fev/24;10%;20.050;2.005;27.464.643;13.698;8,9%;CPSH11;HGBS11;Sellers Finance;63% à vista | 37% em duas parcelas semestrais, com correção por IPCA (Última em Fevereiro/2025);2024_02_08_HGBS_Fato_Relevante.pdf;;;;;;;;
Plaza Sul Shopping;mar/24;5%;23.500;1.175;30.000.000;25.532;8,5%;VISC11;Allos;-;À vista no fechamento;56e26b15-c98c-b820-8517-f4910c50830d;;;;;;;;
I Fashion Outlet Novo Hamburgo;mar/24;10%;20.050;2.005;24.727.449;12.333;9,5%;Iguatemi;HGBS11;Sellers Finance;52% à vista | 48% em duas parcelas semestrais, com correção por IPCA (Última em Março/2025);2024.03.07 - FR - Conclusão Venda IFashion - 10%;;;;;;;;
I Fashion Outlet Novo Hamburgo;mar/24;10%;20.050;2.005;24.723.275;12.331;9,5%;CPSH11;HGBS11;Sellers Finance;52% à vista | 48% em duas parcelas semestrais, com correção por IPCA (Última em Março/2025);2024_03_25_HGBS_Fato_Relevante.pdf;;;;;;;;
Uberlândia Shopping;mar/24;40%;53.490;21.396;150.000.000;7.011;9,2%;XPML11;HSI;Sellers Finance;65% à vista | 35% após 6 meses, com correção por IPCA;Fundos.NET;;;;;;;;
Parque Shopping Barueri;mar/24;31%;36.300;11.253;120.000.000;10.664;-;GSFI11;Send Empreendimentos;Sellers Finance;40% à vista | 60% em 5 parcelas mensais;Fundos.NET;;;;;;;;
Villagio Caxias;abr/24;10%;29.660;2.966;44.200.000;14.902;8,0%;VISC11;Allos;-;À vista no fechamento;820ec45b-e47e-ef22-5f0d-503c7be81927;;;;;;;;
Carioca Shopping;abr/24;15%;33.207;4.981;80.300.000;16.121;9,8%;VISC11;Allos;-;À vista no fechamento;39ee5e0e-b794-8b1c-9a0c-2d9c43c7c42e;;;;;;;;
Shopping Jardim Sul;abr/24;10%;28.410;2.841;57.305.244;20.171;8,9%;CCME11;-;-;-;Fundos.NET;;;;;;;;
Bangu Shopping;mai/24;10%;57.980;5.798;91.800.000;15.833;7,9%;VISC11;Allos;-;À vista no fechamento;64996421-505a-49c9-c4a8-6feaa49c3e92;;;;;;;;
Top Shopping;mai/24;50%;31.664;15.832;111.500.000;7.043;9,3%;-;Allos;-;-;Após adquirir fatia do Rio Sul, Allos vende sua participação no Top Shopping - Diário do Rio de Janeiro;;;;;;;;
São Luís Shopping;jun/24;15%;34.740;5.211;21.200.000;4.068;10,1%;VISC11;Allos;-;À vista no fechamento;1da0bd9c-da57-10d4-8206-d9446df7370f;;;;;;;;
Shopping Cerrado (GO);jun/24;85%;27.834;23.659;2.118.125.000;17.241;7,5%;XPML11;Syn;Sellers Finance;14% à vista | 30% na assinatura dos documentos definitivos | 20% em Dezembro/2024 | 30% em Dezembro/2025, com correção por CDI;Fundos.NET;;;;;;;;
Shopping Metropolitano Barra;;70%;44.000;30.800;;;;;;;;;;;;;;;;
Tietê Plaza Shopping;;53%;36.914;19.380;;;;;;;;;;;;;;;;
Grand Plaza Shopping;;51%;72.000;36.720;;;;;;;;;;;;;;;;
Shopping Cidade São Paulo;;32%;16.851;5.392;;;;;;;;;;;;;;;;
Shopping D;;23%;30.015;6.903;;;;;;;;;;;;;;;;
ParkJacarepaguá;jun/24;9%;39.935;3.594;66.000.000;18.363;-;Multiplan;-;Sellers Finance;60% à vista | 24% após 12 meses | 16% após 6 meses, com correção por IPCA;a150bf84-1541-41fd-cf10-7a9aca75a793;;;;;;;;
Deck Parking Uberaba;jun/24;100%;21.660;21.660;44.039.927;2.033;-;-;HSML11;Sellers Finance + Cotas;67% via cotas do HSML | 33% à vista no fechamento;da1ee2d4-a3d5-6ff9-a0d9-4bd87e8b5bc9;;;;;;;;
Iguatemi São Carlos;jun/24;50%;22.071;11.036;86.750.000;7.861;8,3%;-;Iguatemi;Sellers Finance;54% à vista | 10% em Fevereiro/2025 | 17% em Agosto/2025 | 18% em Fevereiro/2026, com correção por IPCA;Download.aspx;;;;;;;;
Iguatemi Alphaville;jun/24;18%;30.968;5.574;118.250.000;21.214;8,3%;CPSH11;Iguatemi;Sellers Finance;54% à vista | 10% em Fevereiro/2025 | 17% em Agosto/2025 | 18% em Fevereiro/2026, com correção por IPCA;Download.aspx;;;;;;;;
Catarina Fashion Outlet (III Expansão);jul/24;8%;21.700;1.734;273.035.000;16.078;-;XPML11;JHSF;Sellers Finance;20% à vista | 37% na conclusão de condições precedentes | 43% em Dezembro/2024, com correção por IPCA;Fundos.NET;;;;;;;;
Shopping Bela Vista;;14%;51.185;7.319;;;;;;;;;;;;;;;;
Shopping Ponta Negra;;22%;36.040;7.929;;;;;;;;;;;;;;;;
Shopping Rio Sul;jul/24;17%;52.085;8.646;360.000.000;41.637;7,7%;Iguatemi;FIP Retail;-;;Iguatemi volta ao Rio em transação que avalia o RioSul em R$ 2,37 bilhões - Brazil Journal;;;;;;;;
Iguatemi São Paulo;jul/24;1%;49.543;396;25.000.000;63.077;12,3%;Iguatemi;-;-;À vista no fechamento;Download.aspx;;;;;;;;
Shopping Rio Sul;jul/24;33%;52.085;17.344;790.000.000;45.548;7,7%;BBIG11;FIP Retail;Sellers Finance;70% à vista | 30% em duas parcelas anuais, com correção por CDI;Fundos.NET;;;;;;;;
São Gonçalo Shopping (ex-área Supermercado Extra);ago/24;23%;48.360;11.123;17.500.000;1.573;-;Grupo Fernandes Araujo;Família Sendas;-;-;Grupo proprietário do São Gonçalo Shopping compra fatia que pertencia à família Sendas | O São Gonçalo;;;;;;;;
Shopping Cerrado (GO);set/24;85%;28.800;24.480;30.000.000;1.225;13,0%;-;XPML11;-;À vista no fechamento;Fundos.NET;;;;;;;;
Bretas Uberaba;out/24;100%;6.464;6.464;41.000.000;6.343;9,0%;HSML11;-;-;À vista no fechamento;9422b39f-726a-ee40-6a8a-23e9aab41276;;;;;;;;
FL Shops;nov/24;21%;-;-;575.076.079;-;4,5%;XPML11;JHSF;-;-;Fundos.NET;;;;;;;;
Torre FL;;33%;-;-;;;;;;;;;;;;;;;;
JundiaíShopping;dez/24;25%;36.475;9.119;251.400.000;27.570;7,0%;XPML11;Multiplan;Sellers Finance;50% à vista | 25% em Dezembro/2025 | 25% em Junho/2026, com correção por IPCA;Fundos.NET;;;;;;;;
Parque Jaraguá Araraquara;dez/24;25%;21.100;5.275;63.027.677;11.948;9,1%;HGBS11;-;CRI;Assunção de CRI + Emissão de CRI;2024_12_19_HGBS_Fato_Relevante.pdf;;;;;;;;
Plaza Sul Shopping;jan/25;10%;23.938;2.370;395.757.927;31.134;7,5%;XPML11;Allos;Sellers Finance;41% via cotas do XPML | 18% no fechamento | 41% em Janeiro/2027, com correção por IPCA até Dez/2025 e por CDI até Jan/2027;Fundos.NET;;;;;;;;
Carioca Shopping;;20%;33.930;6.786;;;;;;;;;;;;;;;;
Shopping Tijuca;;10%;35.555;3.556;;;;;;;;;;;;;;;;
Rio Anil Shopping;jan/25;45%;39.519;17.784;172.234.000;9.685;9,2%;MALL11;Allos;Cotas + CRI;70% via cotas do MALL (6ª emissão) | 30% em dinheiro ;5b2cf5af-cee2-b850-dfd5-3c5504cb762e;;;;;;;;
Shopping Pátio Higienópolis;abr/25;10%;34.992;3.513;243.685.458;69.363;7,7%;XPML11;Brookfield;Sellers Finance;70% à vista | 15% no 1º aniversário, corrigido por CDI | 15% no 2º aniversário, corrigido por CDI - CRI Conversível em Imóvel;af8ca6e6-768b-a6d4-4e9e-bfe63ef944c7;;;;;;;;
Shopping Pátio Higienópolis;abr/25;15%;34.992;5.126;800.000.000;61.993;7,2%;BBIG11;Brookfield;Sellers Finance;70% à vista | 15% no 1º aniversário, corrigido por CDI | 15% no 2º aniversário, corrigido por CDI - CRI Conversível em Imóvel;https://www.bb.com.br/docs/portal/dtvm/FRBBIG150425.pdf;;;;;;;;
Shopping Pátio Paulista;;19%;42.000;7.778;;;;;;;;;;;;;;;;
Shopping Jardim Sul;jun/25;10%;28.700;2.870;63.000.000;21.951;7,7%;Ancar Ivanhoe;HGBS11;-;À vista no fechamento;2025_09_16_HGBS_Fato_Relevante.pdf;;;;;;;;
Shopping D;jul/25;23%;29.787;6.851;22.385.895;3.268;3,0%;Assaí;XPML11;-;À vista no fechamento;8cfb5ba4-c21b-8b51-cdd7-9ca47d2da587;;;;;;;;
SuperShopping Osasco;ago/25;7,5%;17.984;1.352;21.883.200;16.181;9,6%;HSML11;Pessoa Física;Cotas + CRI;70% em cotas | 30% em dinheiro;fb3215a6-dd4e-9268-4f36-ef7210d5cf7e;;;;;;;;
Shopping Pátio Cianê;ago/25;24%;25.543;6.130;49.390.579;8.057;9,7%;HSML11;Pessoa Física;Cotas + CRI;80% em cotas | 20% em dinheiro;https://api.mziq.com/mzfilemanager/v2/d/1bea7b91-2f45-4c39-99ab-5856eff6841b/fcdc6b0f-1360-89af-a7d8-5e29c4f08e24?origin=1;;;;;;;;
Praia de Belas Shopping;out/25;10%;47.214;4.721; R$ 344.947.303,00 ;30.081;-;XPML11;-;Sellers Finance;77% à vista | 11.5% em 1 ano | 11.5% em 2 anos;exibirDocumento;;;;;;;;
Shopping Metro Tatuapé;out/25;5%;36.000;1.631;;;;;;;;;;;;;;;;
Shopping Iguatemi Bosque;out/25;6%;93.000;5.115;;;;;;;;;;;;;;;;
Shopping Boulevard Tatuapé;out/25;15%;19.000;2.850;;;;;;;;;;;;;;;;
Shopping Internacional Guarulhos;out/25;5%;75.400;3.627;76.701.129;21.149;-;-;XPML11;Cash;À vista;exibirDocumento;;;;;;;;
Tietê Plaza Shopping;dez/25;45%;37.000;16.650;1.654.579.979;17.471;7,1%;Riza Malls Feeder;XPML11;Sellers Finance;63% à vista | 3% até 15/01/ meidante atingimento de certas métricas operacionais | 33% em até 5 anos;https://api.mziq.com/mzfilemanager/v2/d/8071264f-09a1-481e-9c5e-25e5b370cd63/2439d208-e2a7-be65-7c2f-647054d85bb6?origin=1;;;;;;;;
Partage Santana Shopping;;15%;26.000;3.900;;;;;;;;;;;;;;;;
Campinas Shopping;;25%;31.165;7.791;;;;;;;;;;;;;;;;
Grand Plaza Shopping;;20%;63.768;12.754;;;;;;;;;;;;;;;;
Caxias Shopping;;18%;28.000;4.900;;;;;;;;;;;;;;;;
Shopping Downtown;;100%;9.000;9.000;;;;;;;;;;;;;;;;
Shopping Metropolitano Barra;;40%;44.035;17.614;;;;;;;;;;;;;;;;
Shopping Ponta Negra;;40%;37.000;14.796;;;;;;;;;;;;;;;;
Shopping Bela Vista;;14%;51.000;7.298;;;;;;;;;;;;;;;;
Shopping Pátio Higienópolis;dez/25;9%;34.900;3.141;236.712.329;75.362;6,6%;XPML11;BBIG11;Cotas + CRI;17,5% à vista + 57,5% em cotas | 10% em 12 meses | 15% em 24 meses;14ba6d63-3a99-bea2-6f09-d48813272799;;;;;;;;
Iguatemi Alphaville;dez/25;9%;30.957;2.786;608.670.605;25.165;8,0%;XPML11;Iguatemi;Cotas + CRI;10% à vista + 60% em cotas | 10% em 12 meses | 20% em 24 meses;https://api.mziq.com/mzfilemanager/v2/d/8071264f-09a1-481e-9c5e-25e5b370cd63/14ba6d63-3a99-bea2-6f09-d48813272799?origin=1;;;;;;;;
Iguatemi Ribeirão Preto;;24%;43.370;10.391;;;;;;;;;;;;;;;;
Iguatemi São José do Rio Preto;;18%;43.750;7.875;;;;;;;;;;;;;;;;
Shopping Praias Belas;;7%;44.778;3.134;;;;;;;;;;;;;;;;
BH Shopping;jan/26;10%;47.547;4.755;285.000.000;59.941;7,4%;VISC11;Multiplan;Sellers Finance;50% à vista | 25% em 12 meses | 25% em 18 meses;https://api.mziq.com/mzfilemanager/v2/d/4dccebbf-fc1c-4782-93d6-feb72a6129bc/cac4ac7a-85e4-358f-4116-3cb161c5ca65?origin=2;;;;;;;;
Suzano Shopping;jan/26;15%;24.058;3.609;51.120.000;14.166;9,4%;PMLL11;HGBS11;Cash;;9e4644bd-d1f4-e9e6-6180-c55e1537aee5;;;;;;;;
Boulevard Shopping Bauru;jan/26;35%;34.660;12.131;91.455.000;7.539;9,1%;HGBS11;PMLL11;Cash;CRI + valor recebido da venda do Suzano Shopping;Fundos.NET;;;;;;;;
Prudenshopping;abr/26;12%;32.758;3.931;257.100.000;16.805;7,7%;PMLL11;VISC11;Cotas + CRI;"13% à vista | 65% em cotas | 11% em 12 meses | 11% em 18 meses. 
Laudo 12/2025 VISC - 217mm";https://api.mziq.com/mzfilemanager/v2/d/4dccebbf-fc1c-4782-93d6-feb72a6129bc/789dfeba-f1ee-5e7d-0434-03092866663f?origin=2;;;;;;;;
North Shopping Maracanaú;;15%;20.119;3.018;;;;;;;;;;;;;;;;
Granja Vianna ;;14%;30.659;4.292;;;;;;;;;;;;;;;;
Natal Shopping;;10%;28.394;2.839;;;;;;;;;;;;;;;;
Plaza Sul Shopping;;5%;24.375;1.219;;;;;;;;;;;;;;;;
Shopping São Luís;dez/25;17,0%;55.313;9.403;85.365.848;9.078;6,4%;TRXF11;-;Cotas;Pago com a 12ª emissão de cotas ;exibirDocumento;;;;;;;;
